1;ab;Abkhazian
2;aa;Afar
3;af;Afrikaans
4;ak;Akan
5;sq;Albanian
6;am;Amharic
7;ar;Arabic
8;an;Aragonese
9;hy;Armenian
11;av;Avaric
12;ae;Avestan
13;ay;Aymara
14;az;Azerbaijani
15;bm;Bambara
16;ba;Bashkir
17;eu;Basque
18;be;Belarusian
19;bn;Bengali
20;bi;Bislama
21;bs;Bosnian
22;br;Breton
23;bg;Bulgarian
24;my;Burmese
25;ca;Catalan, Valencian
26;ch;Chamorro
27;ce;Chechen
28;ny;Chichewa, Chewa, Nyanja
29;zh;Chinese
30;cu;Church Slavonic, Old Slavonic, Old Church Slavonic
31;cv;Chuvash
32;kw;Cornish
33;co;Corsican
34;cr;Cree
35;hr;Croatian
36;cs;Czech
37;da;Danish
38;dv;Divehi, Dhivehi, Maldivian
39;nl;Dutch, Flemish
40;dz;Dzongkha
41;en;English
42;eo;Esperanto
43;et;Estonian
44;ee;Ewe
45;fo;Faroese
46;fj;Fijian
47;fi;Finnish
48;fr;French
49;fy;Western Frisian
50;ff;Fulah
51;gd;Gaelic, Scottish Gaelic
52;gl;Galician
53;lg;Ganda
54;ka;Georgian
55;de;German
56;el;Greek, Modern (1453–)
57;kl;Kalaallisut, Greenlandic
58;gn;Guarani
59;gu;Gujarati
60;ht;Haitian, Haitian Creole
61;ha;Hausa
62;he;Hebrew
63;hz;Herero
64;hi;Hindi
65;ho;Hiri Motu
66;hu;Hungarian
68;io;Ido
69;ig;Igbo
70;id;Indonesian
71;ia;Interlingua (International Auxiliary Language Association)
72;ie;Interlingue, Occidental
73;iu;Inuktitut
74;ik;Inupiaq
75;ga;Irish
76;it;Italian
77;ja;Japanese
78;jv;Javanese
79;kn;Kannada
80;kr;Kanuri
81;ks;Kashmiri
82;kk;Kazakh
83;km;Central Khmer
84;ki;Kikuyu, Gikuyu
85;rw;Kinyarwanda
86;ky;Kirghiz, Kyrgyz
87;kv;Komi
88;kg;Kongo
89;ko;Korean
90;kj;Kuanyama, Kwanyama
91;ku;Kurdish
92;lo;Lao
93;la;Latin
94;lv;Latvian
95;li;Limburgan, Limburger, Limburgish
96;ln;Lingala
97;lt;Lithuanian
98;lu;Luba-Katanga
99;lb;Luxembourgish, Letzeburgesch
100;mk;Macedonian
101;mg;Malagasy
102;ms;Malay
103;ml;Malayalam
104;mt;Maltese
105;gv;Manx
106;mi;Maori
107;mr;Marathi
108;mh;Marshallese
109;mn;Mongolian
110;na;Nauru
111;nv;Navajo, Navaho
112;nd;North Ndebele
113;nr;South Ndebele
114;ng;Ndonga
115;ne;Nepali
116;no;Norwegian
117;nb;Norwegian Bokmål
118;nn;Norwegian Nynorsk
119;ii;Sichuan Yi, Nuosu
120;oc;Occitan
121;oj;Ojibwa
123;om;Oromo
124;os;Ossetian, Ossetic
125;pi;Pali
126;ps;Pashto, Pushto
127;fa;Persian
128;pl;Polish
129;pt;Portuguese
130;pa;Punjabi, Panjabi
131;qu;Quechua
132;ro;Romanian, Moldavian, Moldovan
133;rm;Romansh
134;rn;Rundi
135;ru;Russian
136;se;Northern Sami
137;sm;Samoan
138;sg;Sango
139;sa;Sanskrit
140;sc;Sardinian
141;sr;Serbian
142;sn;Shona
143;sd;Sindhi
144;si;Sinhala, Sinhalese
145;sk;Slovak
146;sl;Slovenian
147;so;Somali
148;st;Southern Sotho
149;es;Spanish, Castilian
150;su;Sundanese
151;sw;Swahili
152;ss;Swati
153;sv;Swedish
154;tl;Tagalog
155;ty;Tahitian
156;tg;Tajik
157;ta;Tamil
158;tt;Tatar
159;te;Telugu
160;th;Thai
161;bo;Tibetan
162;ti;Tigrinya
163;to;Tonga (Tonga Islands)
164;ts;Tsonga
165;tn;Tswana
166;tr;Turkish
167;tk;Turkmen
168;tw;Twi
169;ug;Uighur, Uyghur
170;uk;Ukrainian
171;ur;Urdu
172;uz;Uzbek
173;ve;Venda
174;vi;Vietnamese
175;vo;Volapük
176;wa;Walloon
177;cy;Welsh
178;wo;Wolof
179;xh;Xhosa
180;yi;Yiddish
181;yo;Yoruba
182;za;Zhuang, Chuang
183;zu;Zulu
